Indice,Time,PSolStatus,X,Y,Z,stdX,stdY,stdZ,VSolStatus,VX,VY,VZ,stdVX,stdVY,stdVZ,VLatency,SolAge,SolSatNumber
    1,2016-05-31 14:41:20.19,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,0
    2,2016-05-31 14:41:20.21,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,0
    3,2016-05-31 14:41:20.31,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,0
    4,2016-05-31 14:41:20.41,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,0
    5,2016-05-31 14:41:20.51,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,0
    6,2016-05-31 14:41:20.61,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,0
    7,2016-05-31 14:41:20.71,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,0
    8,2016-05-31 14:41:20.81,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,0
    9,2016-05-31 14:41:20.91,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,0
   10,2016-05-31 14:41:21.01,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,0
   11,2016-05-31 14:41:21.11,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   12,2016-05-31 14:41:21.21,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   13,2016-05-31 14:41:21.31,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   14,2016-05-31 14:41:21.41,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   15,2016-05-31 14:41:21.52,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   16,2016-05-31 14:41:21.61,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   17,2016-05-31 14:41:21.71,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   18,2016-05-31 14:41:21.81,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   19,2016-05-31 14:41:21.91,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   20,2016-05-31 14:41:22.01,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   21,2016-05-31 14:41:22.11,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   22,2016-05-31 14:41:22.21,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   23,2016-05-31 14:41:22.31,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   24,2016-05-31 14:41:22.41,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   25,2016-05-31 14:41:22.51,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   26,2016-05-31 14:41:22.61,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   27,2016-05-31 14:41:22.71,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   28,2016-05-31 14:41:22.81,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   29,2016-05-31 14:41:22.91,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   30,2016-05-31 14:41:23.02,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   31,2016-05-31 14:41:23.11,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   32,2016-05-31 14:41:23.21,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   33,2016-05-31 14:41:23.31,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   34,2016-05-31 14:41:23.41,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   35,2016-05-31 14:41:23.51,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   36,2016-05-31 14:41:23.61,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   37,2016-05-31 14:41:23.71,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   38,2016-05-31 14:41:23.81,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   39,2016-05-31 14:41:23.91,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   40,2016-05-31 14:41:24.02,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   41,2016-05-31 14:41:24.11,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
